,image_time,DNflag,unet_prob,simple_numhot,unet_class,simple_radiance,hyst_numhot,hyst_radiance,background_bt,hotspot_mean_bt,hotspot_max_bt,bt_hotspot_minus_bg,hotspot_TIR_mean_bt,hotspot_TIR_max_bt,MIR_minus_TIR_bt,improved_radiance,hotspot_area_bg_corrected,solar_za,solar_aa,mirova_numhot,mirova_class,mirova_radiance,max_nti,max_eti,max_dnti,max_deti,max_dnti_z,max_deti_z
11157,2012-03-14 14:24:00,N,0.036885656,0.0,False,,0.0,,,,,,,,,,,116.62846065860955,-26.62846065860956,0.0,False,0.0,-0.97381616,0.0034143925,0.0036092624,0.0029960796,3.1895506,2.8182995
8126,2012-03-14 22:36:00,D,0.00016899047,0.0,False,,0.0,,,,,,,,,,,56.27508036922662,33.72491963077338,0.0,False,0.0,-0.8781169,0.025813758,0.013425164,0.013440423,3.1913073,3.2559228
438,2012-03-15 00:18:00,D,0.0049904212,0.0,False,,0.0,,,,,,,,,,,56.673485303513466,33.326514696486534,0.0,False,0.0,-0.8426121,0.056801975,0.04079382,0.035972044,4.584206,4.2799635
15181,2012-03-15 12:24:00,N,0.42910016,0.0,False,,0.0,,,,,,,,,,,126.86689885653304,-36.86689885653304,0.0,False,0.0,-0.97006035,0.0034245849,0.004288107,0.0021144897,3.3447895,2.8231704
7923,2012-03-15 14:06:00,N,0.24876927,0.0,False,,0.0,,,,,,,,,,,118.32505915787321,-28.325059157873216,0.0,False,0.0,-0.9680562,0.0033985972,0.0041351467,0.0029050708,3.3464224,3.3985822
5034,2012-03-15 22:18:00,D,0.0044657653,0.0,False,,0.0,,,,,,,,,,,56.63564264041701,33.36435735958299,0.0,False,0.0,-0.8254803,0.07915038,0.054898046,0.05079057,4.2609406,4.519617
3332,2012-03-15 23:54:00,D,0.0038277106,0.0,False,,0.0,,,,,,,,,,,55.46763931120981,34.53236068879019,0.0,False,0.0,-0.8487764,0.07594806,0.03781662,0.032621004,3.2035255,3.3220012
17435,2012-03-16 12:06:00,N,0.29865167,0.0,False,,0.0,,,,,,,,,,,127.25053692183431,-37.25053692183432,0.0,False,0.0,-0.9694495,0.0038238168,0.0053989813,0.0033814833,3.6915102,3.2545037
14749,2012-03-16 13:48:00,N,0.5603735,3.0,True,119230.9359267696,6.0,298132.24699953536,251.93124389648438,263.5519104003906,266.5758361816406,11.62066650390625,260.37762451171875,262.6466369628906,3.174285888671875,529276.859882259,0.6156915485318899,119.87065071232436,-29.870650712324355,0.0,False,0.0,-0.96611494,0.00254035,0.007130228,0.0023416206,5.419033,3.1862833
10417,2012-03-16 23:36:00,D,0.001912153,0.0,False,,0.0,,,,,,,,,,,54.74504627815748,35.25495372184252,0.0,False,0.0,-0.8254114,0.07931274,0.049003482,0.04866775,3.4921958,4.1168027
17954,2012-03-17 01:18:00,D,0.0018551522,0.0,False,,0.0,,,,,,,,,,,59.80329313217216,30.19670686782784,0.0,False,0.0,-0.78764504,0.068909526,0.052489683,0.04230444,3.696693,4.3312316
4968,2012-03-17 11:48:00,N,0.0182988,0.0,False,,0.0,,,,,,,,,,,127.38179608220904,-37.381796082209036,0.0,False,0.0,-0.9756922,0.0031703115,0.0025304183,0.0027046278,2.7737172,3.1301553
886,2012-03-17 13:30:00,N,0.21693689,0.0,False,,0.0,,,,,,,,,,,121.24772613202565,-31.247726132025644,0.0,False,0.0,-0.97370285,0.0023713708,0.0023258328,0.0023287535,2.882283,3.2388546
17191,2012-03-17 23:18:00,D,0.0913116,0.0,False,,0.0,,,,,,,,,,,54.2685688665628,35.7314311334372,0.0,False,0.0,-0.84342635,0.0554384,0.040869668,0.03444586,4.033326,4.7312512
7883,2012-03-18 01:00:00,D,0.0078227,0.0,False,,0.0,,,,,,,,,,,58.03408972203127,31.96591027796873,0.0,False,0.0,-0.82853264,0.04236096,0.049110845,0.03586346,4.652404,5.3052497
12406,2012-03-18 13:12:00,N,0.16608894,0.0,False,,0.0,,,,,,,,,,,122.43911944404556,-32.43911944404555,0.0,False,0.0,-0.96445197,0.0027810931,0.005757168,0.0024933591,3.7926097,3.305417
15024,2012-03-18 14:48:00,N,0.0050335987,0.0,False,,0.0,,,,,,,,,,,112.15488141264255,-22.154881412642553,0.0,False,0.0,-0.97418326,0.0034427047,0.0035882592,0.003079459,3.690105,3.3691242
7404,2012-03-18 23:00:00,D,0.008108288,0.0,False,,0.0,,,,,,,,,,,54.0432136050874,35.9567863949126,0.0,False,0.0,-0.8271444,0.056399822,0.05478274,0.04332354,3.3326628,3.2468038
18628,2012-03-19 00:42:00,D,0.0016296803,0.0,False,,0.0,,,,,,,,,,,56.45365908017119,33.54634091982881,0.0,False,0.0,-0.77050483,0.06506646,0.052488223,0.037909597,2.8322332,2.704393
10369,2012-03-19 12:54:00,N,0.13250732,0.0,False,,0.0,,,,,,,,,,,123.42853040192985,-33.42853040192985,0.0,False,0.0,-0.97483635,0.0025495887,0.0033340082,0.0021847934,3.3557777,3.0902708
9318,2012-03-19 14:30:00,N,2.3600127e-05,0.0,False,,0.0,,,,,,,,,,,114.00177993213964,-24.001779932139634,0.0,False,0.0,-0.97687566,0.003779173,0.003135547,0.0030993074,2.820485,2.800477
16593,2012-03-19 22:42:00,D,0.001844366,0.0,False,,0.0,,,,,,,,,,,54.07020309759271,35.92979690240729,0.0,False,0.0,-0.8156124,0.080872,0.052971303,0.044487417,4.057035,3.8491454
18576,2012-03-20 00:24:00,D,0.016017398,0.0,False,,0.0,,,,,,,,,,,55.07873858515304,34.92126141484696,0.0,False,0.0,-0.8652788,0.051103055,0.05539556,0.053579763,5.100479,5.112852
1701,2012-03-20 12:36:00,N,0.017755518,0.0,False,,0.0,,,,,,,,,,,124.20115457065252,-34.20115457065252,0.0,False,0.0,-0.97433096,0.0032702088,0.00321424,0.0023158193,3.5936642,3.2417426
8464,2012-03-20 14:12:00,N,0.021716176,0.0,False,,0.0,,,,,,,,,,,115.72120833870406,-25.72120833870406,0.0,False,0.0,-0.9732408,0.0031163096,0.0033063218,0.0023245662,3.3143244,2.8188565
16552,2012-03-20 22:24:00,D,0.0075893006,0.0,False,,0.0,,,,,,,,,,,54.34681551369447,35.65318448630553,0.0,False,0.0,-0.74631804,0.10078889,0.07895505,0.06417691,3.693166,4.179083
17117,2012-03-21 00:00:00,D,0.060088795,0.0,False,,0.0,,,,,,,,,,,53.71951044975299,36.28048955024701,0.0,False,0.0,-0.911845,0.03819388,0.010133944,0.010181628,5.495141,5.6173415
